Ref,Val,Package,PosX,PosY,Rot,Side
"C2","0.1uF","C_0402_1005Metric",113.550000,-467.600000,270.000000,bottom
"C3","1uF","C_0402_1005Metric",106.400000,-463.050000,180.000000,bottom
"C4","27pF","C_0402_1005Metric",119.960000,-459.575000,0.000000,bottom
"C5","27pF","C_0402_1005Metric",119.960000,-460.625000,0.000000,bottom
"C6","0.1uF","C_0402_1005Metric",109.650000,-456.065000,90.000000,bottom
"C7","0.1uF","C_0402_1005Metric",106.435000,-466.000000,180.000000,bottom
"C9","10uF","C_0402_1005Metric",113.625000,-418.790000,0.000000,bottom
"C10","0.1uF","C_0402_1005Metric",97.515000,-452.700000,0.000000,bottom
"C11","100uF","C_1210_3225Metric",112.420000,-434.210000,90.000000,bottom
"C12","1uF","C_0402_1005Metric",106.415000,-464.950000,180.000000,bottom
"C13","0.1uF","C_0402_1005Metric",119.975000,-463.775000,0.000000,bottom
"C14","0.1uF","C_0402_1005Metric",106.365000,-462.050000,180.000000,bottom
"C15","0.1uF","C_0402_1005Metric",119.975000,-462.725000,0.000000,bottom
"C16","0.1uF","C_0402_1005Metric",113.850000,-456.065000,90.000000,bottom
"C17","0.1uF","C_0402_1005Metric",109.500000,-467.665000,270.000000,bottom
"F1","Polyfuse","Fuse_1206_3216Metric",111.820000,-415.470000,90.000000,bottom
"IC1","RP2040","RP2040-QFN-56",112.550000,-462.050000,270.000000,bottom
"IC2","W25Q128JVSIM","SOIC127P790X216-8N",101.150000,-456.800000,180.000000,bottom
"J32","USB_C_Receptacle_USB2.0","USB_C_Receptacle_Palconn_UTC16-G",111.980000,-391.165000,0.000000,bottom
"R1","27.4","R_0402_1005Metric",109.625000,-447.135000,90.000000,bottom
"R2","27.4","R_0402_1005Metric",110.700000,-447.150000,90.000000,bottom
"R3","10k","R_0402_1005Metric",102.465000,-452.700000,0.000000,bottom
"R4","5.1K","R_0402_1005Metric",114.600000,-467.615000,90.000000,bottom
"R6","1k","R_0402_1005Metric",119.960000,-461.675000,0.000000,bottom
"R7","10K","R_0402_1005Metric",104.750000,-452.700000,0.000000,bottom
"R8","5.1k","R_0402_1005Metric",118.610000,-390.475000,0.000000,bottom
"R9","5.1k","R_0402_1005Metric",118.610000,-391.475000,180.000000,bottom
"R17","5.1K","R_0402_1005Metric",117.025000,-467.600000,90.000000,bottom
"U1","AMS1117-3.3_SOT223","SOT229P700X180-4N",113.920000,-427.390000,0.000000,bottom
"Y1","ABLS-12.000MHZ-B4-T","HC%2f49US-(AT49)_1",124.900000,-461.350000,90.000000,bottom
