Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C2","0.1uF","C_0402_1005Metric",114.325000,-467.610000,270.000000,bottom
"C3","1uF","C_0402_1005Metric",106.415000,-462.450000,180.000000,bottom
"C4","27pF","C_0402_1005Metric",119.985000,-458.700000,0.000000,bottom
"C5","27pF","C_0402_1005Metric",119.985000,-459.725000,0.000000,bottom
"C6","0.1uF","C_0402_1005Metric",108.650000,-456.215000,90.000000,bottom
"C7","0.1uF","C_0402_1005Metric",106.445000,-465.970000,180.000000,bottom
"C8","10uF","C_0402_1005Metric",142.570000,-425.110000,270.000000,bottom
"C9","10uF","C_0402_1005Metric",113.625000,-418.690000,0.000000,bottom
"C10","0.1uF","C_0402_1005Metric",98.540000,-463.760000,180.000000,bottom
"C11","100uF","C_1210_3225Metric",112.420000,-434.110000,90.000000,bottom
"C12","1uF","C_0402_1005Metric",106.450000,-464.950000,180.000000,bottom
"C13","0.1uF","C_0402_1005Metric",119.185000,-463.675000,0.000000,bottom
"C14","0.1uF","C_0402_1005Metric",106.415000,-461.450000,180.000000,bottom
"C15","0.1uF","C_0402_1005Metric",119.200000,-462.150000,0.000000,bottom
"C16","0.1uF","C_0402_1005Metric",114.425000,-455.300000,90.000000,bottom
"C17","0.1uF","C_0402_1005Metric",109.400000,-468.035000,270.000000,bottom
"C18","100uF","C_1210_3225Metric",146.080000,-426.430000,180.000000,bottom
"C19","0.1uF","C_0402_1005Metric",147.535000,-456.000000,0.000000,bottom
"C20","1uF","C_0402_1005Metric",149.585000,-458.450000,180.000000,bottom
"C21","27pF","C_0402_1005Metric",164.935000,-455.150000,0.000000,bottom
"C22","27pF","C_0402_1005Metric",164.935000,-456.200000,0.000000,bottom
"C23","0.1uF","C_0402_1005Metric",153.000000,-464.335000,270.000000,bottom
"C24","1uF","C_0402_1005Metric",149.515000,-460.450000,180.000000,bottom
"C25","0.1uF","C_0402_1005Metric",149.500000,-461.900000,180.000000,bottom
"C26","0.1uF","C_0402_1005Metric",149.585000,-457.450000,180.000000,bottom
"C27","0.1uF","C_0402_1005Metric",151.200000,-452.515000,90.000000,bottom
"C28","0.1uF","C_0402_1005Metric",162.885000,-458.250000,0.000000,bottom
"C29","0.1uF","C_0402_1005Metric",162.885000,-457.225000,0.000000,bottom
"C31","0.1uF","C_0402_1005Metric",158.488000,-464.315000,270.000000,bottom
"C32","0.1uF","C_0402_1005Metric",157.675000,-450.510000,90.000000,bottom
"F1","Polyfuse","Fuse_1206_3216Metric",111.820000,-415.370000,90.000000,bottom
"F2","Polyfuse","Fuse_1206_3216Metric",154.440000,-411.970000,90.000000,bottom
"IC1","RP2040","QFN40P700X700X90-57N-D",112.800000,-461.950000,270.000000,bottom
"IC2","W25Q128JVSIM","SOIC127P790X216-8N",100.950000,-458.310000,270.000000,bottom
"IC3","RP2040","QFN40P700X700X90-57N-D",156.400000,-457.000000,270.000000,bottom
"IC4","W25Q128JVSIM","SOIC127P790X216-8N",145.000000,-461.700000,90.000000,bottom
"J32","USB_C_Receptacle_USB2.0","USB_C_Receptacle_Palconn_UTC16-G",111.980000,-391.065000,0.000000,bottom
"J37","USB_C_Receptacle_USB2.0","USB_C_Receptacle_Palconn_UTC16-G",154.275000,-391.050000,0.000000,bottom
"R1","27.4","R_0402_1005Metric",108.376000,-448.477000,90.000000,bottom
"R2","27.4","R_0402_1005Metric",109.426000,-448.477000,90.000000,bottom
"R3","10k","R_0402_1005Metric",97.300000,-455.165000,90.000000,bottom
"R4","5.1K","R_0402_1005Metric",116.910000,-469.275000,0.000000,bottom
"R5","5.1K","R_0402_1005Metric",147.340000,-423.790000,180.000000,bottom
"R6","1k","R_0402_1005Metric",119.200000,-461.150000,0.000000,bottom
"R7","10K","R_0402_1005Metric",106.425000,-466.990000,0.000000,bottom
"R8","5.1k","R_0402_1005Metric",118.610000,-390.375000,0.000000,bottom
"R9","5.1k","R_0402_1005Metric",118.610000,-391.375000,180.000000,bottom
"R10","5.1k","R_0402_1005Metric",161.495000,-391.730000,0.000000,bottom
"R11","5.1k","R_0402_1005Metric",161.500000,-392.710000,180.000000,bottom
"R12","10k","R_0402_1005Metric",149.535000,-463.950000,180.000000,bottom
"R13","10K","R_0402_1005Metric",149.515000,-462.950000,0.000000,bottom
"R14","27.4","R_0402_1005Metric",153.325000,-445.610000,90.000000,bottom
"R15","27.4","R_0402_1005Metric",152.275000,-445.600000,90.000000,bottom
"R16","1k","R_0402_1005Metric",162.885000,-456.200000,0.000000,bottom
"R17","5.1K","R_0402_1005Metric",119.000000,-467.300000,180.000000,bottom
"U1","AMS1117-3.3_SOT223","SOT229P700X180-4N",113.920000,-427.290000,0.000000,bottom
"U2","AMS1117-3.3_SOT223","SOT229P700X180-4N",153.850000,-424.925000,0.000000,bottom
"Y1","ABLS-12.000MHZ-B4-T","HC%2f49US-(AT49)_1",124.350000,-462.075000,90.000000,bottom
"Y2","ABLS-12.000MHZ-B4-T","HC%2f49US-(AT49)_1",168.300000,-455.525000,90.000000,bottom
