"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**,REF**,REF**";"breakaway-mousebites";6;"breakaway-mousebites";;;
2;"G***,G***";"LeavesW311";2;"LOGO";;;
3;"MX20";"MX-1U-NoLED_HotSwap";1;"SwG";;;
4;"MX27";"MX-1U-NoLED_HotSwap";1;"SwU";;;
5;"J37,J32";"USB_C_Receptacle_Palconn_UTC16-G";2;"USB_C_Receptacle_USB2.0";;;
6;"U1,U2";"SOT229P700X180-4N";2;"AMS1117-3.3_SOT223";;;
7;"C18,C11";"C_1210_3225Metric";2;"100uF";;;
8;"RUN2,RUN1,BOOTSEL2,BOOTSEL1";"BUTT4";4;"BUTT-4";;;
9;"R17,R5,R4";"R_0402_1005Metric";3;"5.1K";;;
10;"J52,J50,J43,J41,J39,J45,J12,J16";"PinHeader_1x04_P2.54mm_Vertical";8;"Raiser_Male";;;
11;"MX16";"MX-1U-NoLED_HotSwap";1;"SwF";;;
12;"MX38";"MX-1U-NoLED_HotSwap";1;"SwMENU";;;
13;"MX34";"MX-1U-NoLED_HotSwap";1;"SwRALT";;;
14;"MX29";"MX-1U-NoLED_HotSwap";1;"SwM";;;
15;"MX28";"MX-1U-NoLED_HotSwap";1;"SwJ";;;
16;"MX25";"MX-1U-NoLED_HotSwap";1;"SwN";;;
17;"MX24";"MX-1U-NoLED_HotSwap";1;"SwH";;;
18;"MX23";"MX-1U-NoLED_HotSwap";1;"SwY";;;
19;"MX21";"MX-1U-NoLED_HotSwap";1;"SwB";;;
20;"MX19";"MX-1U-NoLED_HotSwap";1;"SwT";;;
21;"MX17";"MX-1U-NoLED_HotSwap";1;"SwV";;;
22;"MX15";"MX-1U-NoLED_HotSwap";1;"SwR";;;
23;"MX14";"MX-1U-NoLED_HotSwap";1;"SwLALT";;;
24;"MX10";"MX-1U-NoLED_HotSwap";1;"SwLWIN";;;
25;"R2,R1,R15,R14";"R_0402_1005Metric";4;"27.4";;;
26;"R9,R8,R11,R10";"R_0402_1005Metric";4;"5.1k";;;
27;"R16,R6";"R_0402_1005Metric";2;"1k";;;
28;"R13,R7";"R_0402_1005Metric";2;"10K";;;
29;"R12,R3";"R_0402_1005Metric";2;"10k";;;
30;"F2,F1";"Fuse_1206_3216Metric";2;"Polyfuse";;;
31;"C32,C31,C29,C28,C27,C26,C25,C23,C19,C17,C16,C15,C14,C13,C10,C7,C6,C2";"C_0402_1005Metric";18;"0.1uF";;;
32;"C24,C20,C12,C3";"C_0402_1005Metric";4;"1uF";;;
33;"C22,C21,C5,C4";"C_0402_1005Metric";4;"27pF";;;
34;"C8,C9";"C_0402_1005Metric";2;"10uF";;;
35;"J3,J5";"PinSocket_1x04_P2.54mm_Vertical";2;"Conn_01x04_Female";;;
36;"J47,J19,J34,J17,J9,J13";"PinSocket_1x04_P2.54mm_Vertical";6;"Raiser_Female";;;
37;"J46,J36";"STX35013N";2;"STX-3501-3N";;;
38;"J24,J1,J8,J27,J7,J26";"PinHeader_1x04_P2.54mm_Vertical";6;"Conn_01x04_Male";;;
39;"Y2,Y1";"HC%2f49US-(AT49)_1";2;"ABLS-12.000MHZ-B4-T";;;
40;"IC4,IC2";"SOIC127P790X216-8N";2;"W25Q128JVSIM";;;
41;"IC3,IC1";"QFN40P700X700X90-57N-D";2;"RP2040";;;
