Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C8","10uF","C_0402_1005Metric",160.570000,-425.110000,270.000000,bottom
"C18","100uF","C_1210_3225Metric",164.080000,-426.430000,180.000000,bottom
"C19","0.1uF","C_0402_1005Metric",165.535000,-456.000000,0.000000,bottom
"C20","1uF","C_0402_1005Metric",167.585000,-458.450000,180.000000,bottom
"C21","27pF","C_0402_1005Metric",182.935000,-455.150000,0.000000,bottom
"C22","27pF","C_0402_1005Metric",182.935000,-456.200000,0.000000,bottom
"C23","0.1uF","C_0402_1005Metric",171.000000,-464.335000,270.000000,bottom
"C24","1uF","C_0402_1005Metric",167.515000,-460.450000,180.000000,bottom
"C25","0.1uF","C_0402_1005Metric",167.500000,-461.900000,180.000000,bottom
"C26","0.1uF","C_0402_1005Metric",167.585000,-457.450000,180.000000,bottom
"C27","0.1uF","C_0402_1005Metric",169.200000,-452.515000,90.000000,bottom
"C28","0.1uF","C_0402_1005Metric",180.885000,-458.250000,0.000000,bottom
"C29","0.1uF","C_0402_1005Metric",180.885000,-457.225000,0.000000,bottom
"C31","0.1uF","C_0402_1005Metric",176.488000,-464.315000,270.000000,bottom
"C32","0.1uF","C_0402_1005Metric",175.675000,-450.510000,90.000000,bottom
"F2","Polyfuse","Fuse_1206_3216Metric",172.440000,-411.970000,90.000000,bottom
"IC3","RP2040","QFN40P700X700X90-57N-D",174.400000,-457.000000,270.000000,bottom
"IC4","W25Q128JVSIM","SOIC127P790X216-8N",163.000000,-461.700000,90.000000,bottom
"J37","USB_C_Receptacle_USB2.0","USB_C_Receptacle_Palconn_UTC16-G",172.275000,-391.050000,0.000000,bottom
"R5","5.1K","R_0402_1005Metric",165.340000,-423.790000,180.000000,bottom
"R10","5.1k","R_0402_1005Metric",179.495000,-391.730000,0.000000,bottom
"R11","5.1k","R_0402_1005Metric",179.500000,-392.710000,180.000000,bottom
"R12","10k","R_0402_1005Metric",167.535000,-463.950000,180.000000,bottom
"R13","10K","R_0402_1005Metric",167.515000,-462.950000,0.000000,bottom
"R14","27.4","R_0402_1005Metric",171.325000,-445.610000,90.000000,bottom
"R15","27.4","R_0402_1005Metric",170.275000,-445.600000,90.000000,bottom
"R16","1k","R_0402_1005Metric",180.885000,-456.200000,0.000000,bottom
"U2","AMS1117-3.3_SOT223","SOT229P700X180-4N",171.850000,-424.925000,0.000000,bottom
"Y2","ABLS-12.000MHZ-B4-T","HC%2f49US-(AT49)_1",186.300000,-455.525000,90.000000,bottom
