"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C18";"C_1210_3225Metric";1;"100uF";;;
2;"U2";"SOT229P700X180-4N";1;"AMS1117-3.3_SOT223";;;
3;"MX27";"MX-1U-NoLED_HotSwap";1;"SwU";;;
4;"G***";"LeavesW311";1;"LOGO";;;
5;"J37";"USB_C_Receptacle_Palconn_UTC16-G";1;"USB_C_Receptacle_USB2.0";;;
6;"J43,J41,J52,J12";"PinHeader_1x04_P2.54mm_Vertical";4;"Raiser_Male";;;
7;"J19,J34,J47";"PinSocket_1x04_P2.54mm_Vertical";3;"Raiser_Female";;;
8;"J24,J26,J27";"PinHeader_1x04_P2.54mm_Vertical";3;"Conn_01x04_Male";;;
9;"J46";"STX35013N";1;"STX-3501-3N";;;
10;"RUN2,BOOTSEL2";"BUTT4";2;"BUTT-4";;;
11;"J5";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04_Female";;;
12;"C21,C22";"C_0402_1005Metric";2;"27pF";;;
13;"C24,C20";"C_0402_1005Metric";2;"1uF";;;
14;"C19,C23,C25,C32,C27,C26,C31,C29,C28";"C_0402_1005Metric";9;"0.1uF";;;
15;"C8";"C_0402_1005Metric";1;"10uF";;;
16;"F2";"Fuse_1206_3216Metric";1;"Polyfuse";;;
17;"R16";"R_0402_1005Metric";1;"1k";;;
18;"R13";"R_0402_1005Metric";1;"10K";;;
19;"R12";"R_0402_1005Metric";1;"10k";;;
20;"R11,R10";"R_0402_1005Metric";2;"5.1k";;;
21;"R14,R15";"R_0402_1005Metric";2;"27.4";;;
22;"R5";"R_0402_1005Metric";1;"5.1K";;;
23;"IC3";"QFN40P700X700X90-57N-D";1;"RP2040";;;
24;"Y2";"HC%2f49US-(AT49)_1";1;"ABLS-12.000MHZ-B4-T";;;
25;"IC4";"SOIC127P790X216-8N";1;"W25Q128JVSIM";;;
26;"MX34";"MX-1U-NoLED_HotSwap";1;"SwRALT";;;
27;"MX29";"MX-1U-NoLED_HotSwap";1;"SwM";;;
28;"MX25";"MX-1U-NoLED_HotSwap";1;"SwN";;;
29;"MX24";"MX-1U-NoLED_HotSwap";1;"SwH";;;
30;"MX23";"MX-1U-NoLED_HotSwap";1;"SwY";;;
31;"MX38";"MX-1U-NoLED_HotSwap";1;"SwMENU";;;
32;"MX28";"MX-1U-NoLED_HotSwap";1;"SwJ";;;
